Chili
Meatloaf
Enchilladas
Cajun Chicken and Rice
Beef Stroganoff Over Noodles
Chicken Cordon Bleu
Salmon
Steak
Fish and Chips
Chiken Alfredo
Chicken Sandwiches
Turkey Dinner
Spaghetti & Meatballs
Chicken Parm
Fried Chicken
Mexican
Chicekn Stir Fry
Corned Beef
Lasagna
Tortellini with Chicken in Pesto
Stuff Shell w Sausage
Jambalaya 
Pineapple Ham
Ribs w/ mac
Penne w/ Vodka Sauce
Chicken Pot Pie & Shepards Pie
