Reubans
Wings
Ham & Cheese,  Tuna Melts, Grilled Cheese
Chicken Salad
Mystery Meat Sandwiches
Cold Cuts
Primanti
Pierogies and Brats
Pizza
Breakfast
Tuna Casserole
Hawaiian Sandwiches
Gyro
Meatball Sub
Pulled Pork 
Burgers and Hot Dogs
Philly Cheesesteak
